timestamp,scenario,preset,algorithm,success,distance,risk_score,crowd_score,total_cost,time_ms,nodes_expanded,train_steps,reached_exit,exit_access_score,delta_distance_vs_dijkstra,delta_risk_vs_dijkstra,risk_reduction_pct,crowd_reduction_pct,alpha,beta,gamma,delta,epsilon,heuristic_weight
2026-05-18T04:21:00.404602+00:00,S4 Blocked exit,Distance-heavy,weighted_astar,True,28,0.0,0.0,84.0,1.431,467,,"[10, 27]",9.667,0,0.0,0.0,0.0,3,1,2,10,1,1
2026-05-18T04:21:00.404604+00:00,S4 Blocked exit,Distance-heavy,qlearning,True,28,0.0,0.0,84.0,159.034,29,73834,"[10, 27]",9.667,0,0.0,0.0,0.0,3,1,2,10,1,1
2026-05-18T04:21:00.564244+00:00,S4 Blocked exit,Safety-heavy,dijkstra,True,28,0.0,0.0,28.0,0.803,519,,"[10, 27]",12.533,0,0.0,0.0,0.0,1,5,8,12,2,1
2026-05-18T04:21:00.564248+00:00,S4 Blocked exit,Safety-heavy,astar,True,28,0.0,0.0,28.0,0.225,98,,"[10, 27]",9.667,0,0.0,0.0,0.0,1,5,8,12,2,1
2026-05-18T04:21:00.564250+00:00,S4 Blocked exit,Safety-heavy,weighted_astar,True,28,0.0,0.0,28.0,0.353,98,,"[10, 27]",9.667,0,0.0,0.0,0.0,1,5,8,12,2,1
2026-05-18T04:21:00.564251+00:00,S4 Blocked exit,Safety-heavy,qlearning,True,28,0.0,0.0,28.0,158.128,29,73441,"[10, 27]",9.667,0,0.0,0.0,0.0,1,5,8,12,2,1
2026-05-18T04:21:00.707320+00:00,S5 Dynamic crowd update,Default,dijkstra,True,25,0.0,20.0,85.0,0.716,451,,"[10, 27]",10.0,0,0.0,0.0,0.0,1,3,5,10,2,1
2026-05-18T04:21:00.707326+00:00,S5 Dynamic crowd update,Default,astar,True,25,0.0,20.0,85.0,0.079,26,,"[10, 27]",10.0,0,0.0,0.0,0.0,1,3,5,10,2,1
2026-05-18T04:21:00.707328+00:00,S5 Dynamic crowd update,Default,weighted_astar,True,27,0.0,0.0,27.0,0.175,43,,"[10, 27]",11.233,2,0.0,0.0,100.0,1,3,5,10,2,1
2026-05-18T04:21:00.707330+00:00,S5 Dynamic crowd update,Default,qlearning,True,27,0.0,0.0,27.0,141.966,28,72320,"[10, 27]",11.233,2,0.0,0.0,100.0,1,3,5,10,2,1
2026-05-18T04:21:00.851766+00:00,S5 Dynamic crowd update,Distance-heavy,dijkstra,True,25,0.0,20.0,95.0,0.715,451,,"[10, 27]",10.0,0,0.0,0.0,0.0,3,1,2,10,1,1
2026-05-18T04:21:00.851772+00:00,S5 Dynamic crowd update,Distance-heavy,astar,True,25,0.0,20.0,95.0,0.079,26,,"[10, 27]",10.0,0,0.0,0.0,0.0,3,1,2,10,1,1
2026-05-18T04:21:00.851774+00:00,S5 Dynamic crowd update,Distance-heavy,weighted_astar,True,27,0.0,0.0,81.0,1.222,407,,"[10, 27]",11.233,2,0.0,0.0,100.0,3,1,2,10,1,1
2026-05-18T04:21:00.851776+00:00,S5 Dynamic crowd update,Distance-heavy,qlearning,True,27,0.0,0.0,81.0,142.291,28,71974,"[10, 27]",11.233,2,0.0,0.0,100.0,3,1,2,10,1,1
2026-05-18T04:21:00.995565+00:00,S5 Dynamic crowd update,Safety-heavy,dijkstra,True,25,0.0,20.0,125.0,0.703,451,,"[10, 27]",10.0,0,0.0,0.0,0.0,1,5,8,12,2,1
2026-05-18T04:21:00.995569+00:00,S5 Dynamic crowd update,Safety-heavy,astar,True,25,0.0,20.0,125.0,0.082,26,,"[10, 27]",10.0,0,0.0,0.0,0.0,1,5,8,12,2,1
2026-05-18T04:21:00.995608+00:00,S5 Dynamic crowd update,Safety-heavy,weighted_astar,True,27,0.0,0.0,27.0,0.175,43,,"[10, 27]",11.233,2,0.0,0.0,100.0,1,5,8,12,2,1
2026-05-18T04:21:00.995631+00:00,S5 Dynamic crowd update,Safety-heavy,qlearning,True,27,0.0,0.0,27.0,142.71,28,71693,"[10, 27]",11.233,2,0.0,0.0,100.0,1,5,8,12,2,1
2026-05-18T04:21:01.177536+00:00,S6 Algorithm comparison sweep,Default,dijkstra,True,29,2.0,0.0,39.0,1.011,531,,"[4, 26]",13.533,0,0.0,0.0,0.0,1,3,5,10,2,1
2026-05-18T04:21:01.177540+00:00,S6 Algorithm comparison sweep,Default,astar,True,29,2.0,0.0,39.0,0.173,66,,"[4, 26]",13.533,0,0.0,0.0,0.0,1,3,5,10,2,1
2026-05-18T04:21:01.177542+00:00,S6 Algorithm comparison sweep,Default,weighted_astar,True,31,0.0,0.0,31.0,0.555,168,,"[16, 26]",14.567,2,-2.0,100.0,0.0,1,3,5,10,2,1
2026-05-18T04:21:01.177544+00:00,S6 Algorithm comparison sweep,Default,qlearning,True,31,0.0,0.0,31.0,179.945,32,83434,"[16, 26]",14.567,2,-2.0,100.0,0.0,1,3,5,10,2,1
2026-05-18T04:21:01.362772+00:00,S6 Algorithm comparison sweep,Distance-heavy,dijkstra,True,29,2.0,0.0,91.0,0.82,531,,"[4, 26]",13.533,0,0.0,0.0,0.0,3,1,2,10,1,1
2026-05-18T04:21:01.362780+00:00,S6 Algorithm comparison sweep,Distance-heavy,astar,True,29,2.0,0.0,91.0,0.193,66,,"[4, 26]",13.533,0,0.0,0.0,0.0,3,1,2,10,1,1
2026-05-18T04:21:01.362782+00:00,S6 Algorithm comparison sweep,Distance-heavy,weighted_astar,True,29,2.0,0.0,91.0,1.587,516,,"[4, 26]",13.533,0,0.0,0.0,0.0,3,1,2,10,1,1
2026-05-18T04:21:01.362784+00:00,S6 Algorithm comparison sweep,Distance-heavy,qlearning,True,31,0.0,0.0,93.0,182.487,32,84109,"[16, 26]",14.567,2,-2.0,100.0,0.0,3,1,2,10,1,1
2026-05-18T04:21:01.551105+00:00,S6 Algorithm comparison sweep,Safety-heavy,dijkstra,True,29,2.0,0.0,45.0,0.83,531,,"[4, 26]",13.533,0,0.0,0.0,0.0,1,5,8,12,2,1
2026-05-18T04:21:01.551115+00:00,S6 Algorithm comparison sweep,Safety-heavy,astar,True,29,2.0,0.0,45.0,0.188,66,,"[4, 26]",13.533,0,0.0,0.0,0.0,1,5,8,12,2,1
2026-05-18T04:21:01.551118+00:00,S6 Algorithm comparison sweep,Safety-heavy,weighted_astar,True,31,0.0,0.0,31.0,0.611,168,,"[16, 26]",14.567,2,-2.0,100.0,0.0,1,5,8,12,2,1
2026-05-18T04:21:01.551120+00:00,S6 Algorithm comparison sweep,Safety-heavy,qlearning,True,31,0.0,0.0,31.0,186.531,32,84686,"[16, 26]",14.567,2,-2.0,100.0,0.0,1,5,8,12,2,1
